Maximum,192.2,@,No.1176,,,,,
Minimum,-0.2,@,No.2388,,,,,
Average,54.46,,,,,,,
Data Quantity,2405,,,,,,,
Number of NG,0,,,,,,,
No.,Force,Unit,Displacement,Unit,Judge,Position,Time,Date
242,45.4,gf,0.795,mm,OK,--,8:56:41 AM,1/10/2026
243,45.3,gf,0.795,mm,OK,--,8:56:41 AM,1/10/2026
244,45.1,gf,0.8,mm,OK,--,8:56:41 AM,1/10/2026
245,45,gf,0.8,mm,OK,--,8:56:41 AM,1/10/2026
246,45.2,gf,0.805,mm,OK,--,8:56:41 AM,1/10/2026
247,45.4,gf,0.805,mm,OK,--,8:56:41 AM,1/10/2026
248,45.4,gf,0.805,mm,OK,--,8:56:41 AM,1/10/2026
249,45.6,gf,0.81,mm,OK,--,8:56:41 AM,1/10/2026
250,45.8,gf,0.81,mm,OK,--,8:56:41 AM,1/10/2026
251,46,gf,0.815,mm,OK,--,8:56:41 AM,1/10/2026
252,46.3,gf,0.815,mm,OK,--,8:56:42 AM,1/10/2026
253,46.5,gf,0.82,mm,OK,--,8:56:42 AM,1/10/2026
254,46.9,gf,0.82,mm,OK,--,8:56:42 AM,1/10/2026
255,47.4,gf,0.825,mm,OK,--,8:56:42 AM,1/10/2026
256,47.9,gf,0.83,mm,OK,--,8:56:42 AM,1/10/2026
257,48.1,gf,0.835,mm,OK,--,8:56:42 AM,1/10/2026
258,48.2,gf,0.835,mm,OK,--,8:56:42 AM,1/10/2026
259,48.4,gf,0.84,mm,OK,--,8:56:42 AM,1/10/2026
260,48.5,gf,0.84,mm,OK,--,8:56:42 AM,1/10/2026
261,48.7,gf,0.84,mm,OK,--,8:56:42 AM,1/10/2026
262,48.9,gf,0.845,mm,OK,--,8:56:43 AM,1/10/2026
263,49.2,gf,0.845,mm,OK,--,8:56:43 AM,1/10/2026
264,49.4,gf,0.85,mm,OK,--,8:56:43 AM,1/10/2026
265,49.3,gf,0.85,mm,OK,--,8:56:43 AM,1/10/2026
266,49.4,gf,0.855,mm,OK,--,8:56:43 AM,1/10/2026
267,49.6,gf,0.855,mm,OK,--,8:56:43 AM,1/10/2026
268,49.5,gf,0.86,mm,OK,--,8:56:43 AM,1/10/2026
269,49.5,gf,0.86,mm,OK,--,8:56:43 AM,1/10/2026
270,49.7,gf,0.865,mm,OK,--,8:56:43 AM,1/10/2026
271,49.7,gf,0.87,mm,OK,--,8:56:43 AM,1/10/2026
272,49.9,gf,0.87,mm,OK,--,8:56:44 AM,1/10/2026
273,49.9,gf,0.875,mm,OK,--,8:56:44 AM,1/10/2026
274,49.8,gf,0.88,mm,OK,--,8:56:44 AM,1/10/2026
275,49.9,gf,0.88,mm,OK,--,8:56:44 AM,1/10/2026
276,49.8,gf,0.885,mm,OK,--,8:56:44 AM,1/10/2026
277,49.4,gf,0.885,mm,OK,--,8:56:44 AM,1/10/2026
278,49.4,gf,0.89,mm,OK,--,8:56:44 AM,1/10/2026
279,49.4,gf,0.89,mm,OK,--,8:56:44 AM,1/10/2026
280,49.4,gf,0.89,mm,OK,--,8:56:44 AM,1/10/2026
281,49.6,gf,0.895,mm,OK,--,8:56:44 AM,1/10/2026
282,49.6,gf,0.895,mm,OK,--,8:56:45 AM,1/10/2026
283,49.7,gf,0.9,mm,OK,--,8:56:45 AM,1/10/2026
284,50,gf,0.9,mm,OK,--,8:56:45 AM,1/10/2026
285,50.3,gf,0.9,mm,OK,--,8:56:45 AM,1/10/2026
286,50.4,gf,0.905,mm,OK,--,8:56:45 AM,1/10/2026
287,50.5,gf,0.905,mm,OK,--,8:56:45 AM,1/10/2026
288,50.6,gf,0.91,mm,OK,--,8:56:45 AM,1/10/2026
289,50.8,gf,0.915,mm,OK,--,8:56:45 AM,1/10/2026
290,51.1,gf,0.915,mm,OK,--,8:56:45 AM,1/10/2026
291,51.1,gf,0.915,mm,OK,--,8:56:45 AM,1/10/2026
292,51.3,gf,0.92,mm,OK,--,8:56:46 AM,1/10/2026
293,51.4,gf,0.92,mm,OK,--,8:56:46 AM,1/10/2026
294,51.5,gf,0.925,mm,OK,--,8:56:46 AM,1/10/2026
295,51.6,gf,0.925,mm,OK,--,8:56:46 AM,1/10/2026
296,51.8,gf,0.93,mm,OK,--,8:56:46 AM,1/10/2026
297,51.9,gf,0.935,mm,OK,--,8:56:46 AM,1/10/2026
298,51.8,gf,0.935,mm,OK,--,8:56:46 AM,1/10/2026
299,51.9,gf,0.94,mm,OK,--,8:56:46 AM,1/10/2026
300,51.7,gf,0.94,mm,OK,--,8:56:46 AM,1/10/2026
301,51.6,gf,0.945,mm,OK,--,8:56:46 AM,1/10/2026
302,51.6,gf,0.95,mm,OK,--,8:56:47 AM,1/10/2026
303,51.4,gf,0.955,mm,OK,--,8:56:47 AM,1/10/2026
304,51.2,gf,0.96,mm,OK,--,8:56:47 AM,1/10/2026
305,51.1,gf,0.96,mm,OK,--,8:56:47 AM,1/10/2026
306,51.3,gf,0.97,mm,OK,--,8:56:47 AM,1/10/2026
307,51.4,gf,0.975,mm,OK,--,8:56:47 AM,1/10/2026
308,51.5,gf,0.975,mm,OK,--,8:56:47 AM,1/10/2026
309,51.7,gf,0.98,mm,OK,--,8:56:47 AM,1/10/2026
310,51.7,gf,0.98,mm,OK,--,8:56:47 AM,1/10/2026
311,52,gf,0.985,mm,OK,--,8:56:47 AM,1/10/2026
312,52.1,gf,0.99,mm,OK,--,8:56:48 AM,1/10/2026
313,52.3,gf,0.99,mm,OK,--,8:56:48 AM,1/10/2026
314,52.4,gf,0.995,mm,OK,--,8:56:48 AM,1/10/2026
315,52.6,gf,0.995,mm,OK,--,8:56:48 AM,1/10/2026
316,52.6,gf,1,mm,OK,--,8:56:48 AM,1/10/2026
317,52.6,gf,1,mm,OK,--,8:56:48 AM,1/10/2026
318,52.7,gf,1.005,mm,OK,--,8:56:48 AM,1/10/2026
319,52.7,gf,1.005,mm,OK,--,8:56:48 AM,1/10/2026
320,52.8,gf,1.01,mm,OK,--,8:56:48 AM,1/10/2026
321,52.7,gf,1.01,mm,OK,--,8:56:48 AM,1/10/2026
322,52.6,gf,1.015,mm,OK,--,8:56:49 AM,1/10/2026
323,52.7,gf,1.02,mm,OK,--,8:56:49 AM,1/10/2026
324,52.7,gf,1.025,mm,OK,--,8:56:49 AM,1/10/2026
325,52.6,gf,1.03,mm,OK,--,8:56:49 AM,1/10/2026
326,52.8,gf,1.03,mm,OK,--,8:56:49 AM,1/10/2026
327,53,gf,1.035,mm,OK,--,8:56:49 AM,1/10/2026
